episode,human_skill_label,shutter_skill_label,skill_pair,human_shooting_threshold,shutter_shooting_threshold,human_support_frames,shutter_support_frames,idle_support_frames,human_score_without_nao,shutter_score_without_nao,human_score_with_nao,shutter_score_with_nao,nao_to_human,nao_to_shutter,first_half_human_support_pct,first_half_shutter_support_pct,second_half_human_support_pct,second_half_shutter_support_pct,nao_action_support_human_pct,nao_action_support_shutter_pct,nao_action_center_idle_pct,episode_frames,bucket_1_support_human_pct,bucket_1_support_shutter_pct,bucket_1_center_idle_pct,bucket_1_human_score_with_nao,bucket_1_shutter_score_with_nao,bucket_2_support_human_pct,bucket_2_support_shutter_pct,bucket_2_center_idle_pct,bucket_2_human_score_with_nao,bucket_2_shutter_score_with_nao,bucket_3_support_human_pct,bucket_3_support_shutter_pct,bucket_3_center_idle_pct,bucket_3_human_score_with_nao,bucket_3_shutter_score_with_nao,bucket_4_support_human_pct,bucket_4_support_shutter_pct,bucket_4_center_idle_pct,bucket_4_human_score_with_nao,bucket_4_shutter_score_with_nao,bucket_5_support_human_pct,bucket_5_support_shutter_pct,bucket_5_center_idle_pct,bucket_5_human_score_with_nao,bucket_5_shutter_score_with_nao,bucket_6_support_human_pct,bucket_6_support_shutter_pct,bucket_6_center_idle_pct,bucket_6_human_score_with_nao,bucket_6_shutter_score_with_nao,bucket_7_support_human_pct,bucket_7_support_shutter_pct,bucket_7_center_idle_pct,bucket_7_human_score_with_nao,bucket_7_shutter_score_with_nao,bucket_8_support_human_pct,bucket_8_support_shutter_pct,bucket_8_center_idle_pct,bucket_8_human_score_with_nao,bucket_8_shutter_score_with_nao,bucket_9_support_human_pct,bucket_9_support_shutter_pct,bucket_9_center_idle_pct,bucket_9_human_score_with_nao,bucket_9_shutter_score_with_nao,bucket_10_support_human_pct,bucket_10_support_shutter_pct,bucket_10_center_idle_pct,bucket_10_human_score_with_nao,bucket_10_shutter_score_with_nao
29,bad,good,bad/good,0.009202045068608914,0.17678467306146312,6968,0,3032,290,810,760,810,470,0,67.56,0.0,71.8,0.0,69.68,0.0,30.32,10000,35.74074074074074,0.0,64.25925925925925,40,90,72.22222222222223,0.0,27.77777777777778,130,200,25.462962962962962,0.0,74.53703703703704,230,260,79.35185185185185,0.0,20.64814814814815,250,360,100.0,0.0,0.0,320,500,100.0,0.0,0.0,430,550,100.0,0.0,0.0,520,640,100.0,0.0,0.0,620,740,30.27777777777778,0.0,69.72222222222223,750,780,8.214285714285714,0.0,91.78571428571429,760,810
31,bad,good,bad/good,0.008089684019052462,0.16633747292330514,5445,0,4555,330,760,730,760,400,0,66.46,0.0,42.44,0.0,54.45,0.0,45.55,10000,27.77777777777778,0.0,72.22222222222223,70,90,31.574074074074073,0.0,68.42592592592592,160,200,48.333333333333336,0.0,51.666666666666664,220,280,100.0,0.0,0.0,280,400,100.0,0.0,0.0,380,480,57.129629629629626,0.0,42.870370370370374,470,520,72.22222222222223,0.0,27.77777777777778,540,600,11.574074074074074,0.0,88.42592592592592,620,660,55.55555555555556,0.0,44.44444444444444,710,750,0.0,0.0,100.0,730,760
32,bad,good,bad/good,0.014357164133992663,0.13955348058370087,4411,0,5589,390,700,650,700,260,0,58.14,0.0,30.08,0.0,44.11,0.0,55.89,10000,0.0,0.0,100.0,40,80,80.92592592592592,0.0,19.074074074074073,130,200,38.425925925925924,0.0,61.574074074074076,210,250,49.81481481481482,0.0,50.18518518518518,240,320,100.0,0.0,0.0,310,370,72.22222222222223,0.0,27.77777777777778,380,440,18.425925925925927,0.0,81.57407407407408,490,510,27.77777777777778,0.0,72.22222222222223,580,580,0.0,0.0,100.0,640,680,80.35714285714286,0.0,19.642857142857142,650,700
35,bad,good,bad/good,0.005839255664864782,0.08839177587515815,7222,0,2778,220,700,630,700,410,0,76.44,0.0,68.0,0.0,72.22,0.0,27.78,10000,37.22222222222222,0.0,62.77777777777778,60,110,72.22222222222223,0.0,27.77777777777778,130,200,86.75925925925925,0.0,13.24074074074074,210,260,85.46296296296296,0.0,14.537037037037036,270,340,72.22222222222223,0.0,27.77777777777778,360,440,84.9074074074074,0.0,15.092592592592593,440,490,59.53703703703704,0.0,40.46296296296296,460,530,65.18518518518519,0.0,34.81481481481482,530,580,79.25925925925925,0.0,20.74074074074074,600,700,100.0,0.0,0.0,630,700
36,bad,good,bad/good,0.012305528178583896,0.14741743599086546,6524,0,3476,330,780,730,780,400,0,57.1,0.0,73.38,0.0,65.24,0.0,34.76,10000,0.0,0.0,100.0,70,90,69.72222222222223,0.0,30.27777777777778,170,220,27.77777777777778,0.0,72.22222222222223,240,280,66.85185185185185,0.0,33.148148148148145,300,360,100.0,0.0,0.0,330,420,74.81481481481481,0.0,25.185185185185187,500,530,85.18518518518519,0.0,14.814814814814815,550,630,100.0,0.0,0.0,650,730,70.92592592592592,0.0,29.074074074074073,720,750,33.92857142857143,0.0,66.07142857142857,730,780
39,bad,good,bad/good,0.005976062568259552,0.14985136879026187,7703,0,2297,240,760,710,760,470,0,81.3,0.0,72.76,0.0,77.03,0.0,22.97,10000,44.44444444444444,0.0,55.55555555555556,30,110,100.0,0.0,0.0,110,200,50.27777777777778,0.0,49.72222222222222,210,250,81.66666666666667,0.0,18.333333333333332,270,360,100.0,0.0,0.0,370,440,100.0,0.0,0.0,450,500,47.407407407407405,0.0,52.592592592592595,500,570,100.0,0.0,0.0,610,670,72.22222222222223,0.0,27.77777777777778,680,750,66.42857142857143,0.0,33.57142857142857,710,760
42,bad,good,bad/good,0.005828995586349844,0.13432038203153884,5760,0,4240,230,740,580,740,350,0,45.68,0.0,69.52,0.0,57.6,0.0,42.4,10000,37.96296296296296,0.0,62.03703703703704,30,90,27.59259259259259,0.0,72.4074074074074,110,150,58.611111111111114,0.0,41.388888888888886,200,240,41.94444444444444,0.0,58.05555555555556,240,290,45.370370370370374,0.0,54.629629629629626,310,370,86.48148148148148,0.0,13.518518518518519,410,450,27.77777777777778,0.0,72.22222222222223,470,500,81.66666666666667,0.0,18.333333333333332,500,600,100.0,0.0,0.0,570,710,100.0,0.0,0.0,580,740
45,bad,good,bad/good,0.00907966599785868,0.12489529376616941,3462,0,6538,350,750,730,750,380,0,40.58,0.0,28.66,0.0,34.62,0.0,65.38,10000,30.925925925925927,0.0,69.07407407407408,50,120,66.38888888888889,0.0,33.611111111111114,190,230,3.240740740740741,0.0,96.75925925925925,250,300,24.537037037037038,0.0,75.46296296296296,370,400,62.77777777777778,0.0,37.22222222222222,440,500,27.77777777777778,0.0,72.22222222222223,500,510,0.0,0.0,100.0,540,540,27.77777777777778,0.0,72.22222222222223,610,670,77.12962962962963,0.0,22.87037037037037,720,750,0.0,0.0,100.0,730,750
48,bad,good,bad/good,0.007942933932235295,0.19739884717027595,2638,0,7362,370,650,620,650,250,0,39.98,0.0,12.78,0.0,26.38,0.0,73.62,10000,31.574074074074073,0.0,68.42592592592592,40,90,29.25925925925926,0.0,70.74074074074075,120,150,64.53703703703704,0.0,35.46296296296296,200,250,1.6666666666666667,0.0,98.33333333333333,250,280,58.05555555555556,0.0,41.94444444444444,340,390,31.38888888888889,0.0,68.61111111111111,460,490,0.0,0.0,100.0,500,520,27.77777777777778,0.0,72.22222222222223,580,580,0.0,0.0,100.0,620,620,0.0,0.0,100.0,620,650
49,bad,good,bad/good,0.008318278645694784,0.1758321343096032,3341,0,6659,310,590,580,590,270,0,38.04,0.0,28.78,0.0,33.41,0.0,66.59,10000,42.592592592592595,0.0,57.407407407407405,60,120,5.555555555555555,0.0,94.44444444444444,120,160,55.55555555555556,0.0,44.44444444444444,210,240,26.666666666666668,0.0,73.33333333333333,230,290,45.74074074074074,0.0,54.25925925925926,290,330,36.2037037037037,0.0,63.7962962962963,360,420,64.62962962962963,0.0,35.370370370370374,470,480,4.62962962962963,0.0,95.37037037037037,510,520,27.77777777777778,0.0,72.22222222222223,570,590,0.0,0.0,100.0,580,590
